year,state,fips,gender,births
2009,Missouri,29,female,38178
2009,Missouri,29,male,40727
2009,Missouri,29,total,78905
2009,Montana,30,female,6009
2009,Montana,30,male,6248
2009,Montana,30,total,12257
2009,Nebraska,31,female,13103
2009,Nebraska,31,male,13833
2009,Nebraska,31,total,26936
2009,Nevada,32,female,18289
2009,Nevada,32,male,19323
2009,Nevada,32,total,37612
2009,New Hampshire,33,female,6524
2009,New Hampshire,33,male,6853
2009,New Hampshire,33,total,13377
2009,New Jersey,34,female,53700
2009,New Jersey,34,male,56631
2009,New Jersey,34,total,110331
2009,New Mexico,35,female,14221
2009,New Mexico,35,male,14779
2009,New Mexico,35,total,29000
2009,New York,36,female,120877
2009,New York,36,male,127233
2009,New York,36,total,248110
2009,North Carolina,37,female,61838
2009,North Carolina,37,male,65007
2009,North Carolina,37,total,126845
2009,North Dakota,38,female,4418
2009,North Dakota,38,male,4583
2009,North Dakota,38,total,9001
2009,Ohio,39,female,70760
2009,Ohio,39,male,74081
2009,Ohio,39,total,144841
2009,Oklahoma,40,female,26559
2009,Oklahoma,40,male,27994
2009,Oklahoma,40,total,54553
2009,Oregon,41,female,22921
2009,Oregon,41,male,24211
2009,Oregon,41,total,47132
2009,Pennsylvania,42,female,71667
2009,Pennsylvania,42,male,74767
2009,Pennsylvania,42,total,146434
2009,Rhode Island,44,female,5603
2009,Rhode Island,44,male,5839
2009,Rhode Island,44,total,11442
2009,South Carolina,45,female,30055
2009,South Carolina,45,male,30565
2009,South Carolina,45,total,60620
2009,South Dakota,46,female,5862
2009,South Dakota,46,male,6072
2009,South Dakota,46,total,11934
2009,Tennessee,47,female,40184
2009,Tennessee,47,male,42027
2009,Tennessee,47,total,82211
2009,Texas,48,female,196917
2009,Texas,48,male,205060
2009,Texas,48,total,401977
2009,Utah,49,female,26329
2009,Utah,49,male,27558
2009,Utah,49,total,53887
2009,Vermont,50,female,2918
2009,Vermont,50,male,3192
2009,Vermont,50,total,6110
2009,Virginia,51,female,51307
2009,Virginia,51,male,53752
2009,Virginia,51,total,105059
2009,Washington,53,female,43577
2009,Washington,53,male,45736
2009,Washington,53,total,89313
2009,West Virginia,54,female,10452
2009,West Virginia,54,male,10816
2009,West Virginia,54,total,21268
2009,Wisconsin,55,female,34656
2009,Wisconsin,55,male,36187
2009,Wisconsin,55,total,70843
2009,Wyoming,56,female,3785
2009,Wyoming,56,male,4096
2009,Wyoming,56,total,7881
2009,United States,,total,4130665
2010,Alabama,01,female,29227
2010,Alabama,01,male,30823
2010,Alabama,01,total,60050
2010,Alaska,02,female,5616
2010,Alaska,02,male,5855
2010,Alaska,02,total,11471
2010,Arizona,04,female,42936
2010,Arizona,04,male,44541
2010,Arizona,04,total,87477
2010,Arkansas,05,female,18816
2010,Arkansas,05,male,19724
2010,Arkansas,05,total,38540
2010,California,06,female,248983
2010,California,06,male,261215
2010,California,06,total,510198
2010,Colorado,08,female,32270
2010,Colorado,08,male,34085
2010,Colorado,08,total,66355
2010,Connecticut,09,female,18485
2010,Connecticut,09,male,19223
2010,Connecticut,09,total,37708
2010,Delaware,10,female,5564
2010,Delaware,10,male,5800
2010,Delaware,10,total,11364
2010,District of Columbia,11,female,4463
2010,District of Columbia,11,male,4702
2010,District of Columbia,11,total,9165
2010,Florida,12,female,104794
2010,Florida,12,male,109796
2010,Florida,12,total,214590
2010,Georgia,13,female,65438
2010,Georgia,13,male,68509
2010,Georgia,13,total,133947
2010,Hawaii,15,female,9071
2010,Hawaii,15,male,9917
2010,Hawaii,15,total,18988
2010,Idaho,16,female,11319
2010,Idaho,16,male,11879
2010,Idaho,16,total,23198
2010,Illinois,17,female,80298
2010,Illinois,17,male,84902
2010,Illinois,17,total,165200
2010,Indiana,18,female,40829
2010,Indiana,18,male,43111
2010,Indiana,18,total,83940
2010,Iowa,19,female,19066
2010,Iowa,19,male,19653
2010,Iowa,19,total,38719
2010,Kansas,20,female,19887
2010,Kansas,20,male,20762
2010,Kansas,20,total,40649
2010,Kentucky,21,female,27038
2010,Kentucky,21,male,28746
2010,Kentucky,21,total,55784
2010,Louisiana,22,female,30565
2010,Louisiana,22,male,31814
2010,Louisiana,22,total,62379
2010,Maine,23,female,6328
2010,Maine,23,male,6642
2010,Maine,23,total,12970
2010,Maryland,24,female,36203
2010,Maryland,24,male,37598
2010,Maryland,24,total,73801
2010,Massachusetts,25,female,35559
2010,Massachusetts,25,male,37306
2010,Massachusetts,25,total,72865
2010,Michigan,26,female,55967
2010,Michigan,26,male,58564
2010,Michigan,26,total,114531
2010,Minnesota,27,female,33540
2010,Minnesota,27,male,35070
2010,Minnesota,27,total,68610
2010,Mississippi,28,female,19643
2010,Mississippi,28,male,20393
2010,Mississippi,28,total,40036
2010,Missouri,29,female,37278
2010,Missouri,29,male,39481
2010,Missouri,29,total,76759
2010,Montana,30,female,5933
2010,Montana,30,male,6127
2010,Montana,30,total,12060
2010,Nebraska,31,female,12703
2010,Nebraska,31,male,13215
2010,Nebraska,31,total,25918
2010,Nevada,32,female,17661
2010,Nevada,32,male,18273
2010,Nevada,32,total,35934
2010,New Hampshire,33,female,6285
2010,New Hampshire,33,male,6589
2010,New Hampshire,33,total,12874
2010,New Jersey,34,female,52354
2010,New Jersey,34,male,54568
2010,New Jersey,34,total,106922
2010,New Mexico,35,female,13614
2010,New Mexico,35,male,14236
2010,New Mexico,35,total,27850
2010,New York,36,female,119023
2010,New York,36,male,125352
2010,New York,36,total,244375
2010,North Carolina,37,female,59842
2010,North Carolina,37,male,62508
2010,North Carolina,37,total,122350
2010,North Dakota,38,female,4465
2010,North Dakota,38,male,4639
2010,North Dakota,38,total,9104
2010,Ohio,39,female,67624
2010,Ohio,39,male,71504
2010,Ohio,39,total,139128
2010,Oklahoma,40,female,26152
2010,Oklahoma,40,male,27086
2010,Oklahoma,40,total,53238
2010,Oregon,41,female,22215
2010,Oregon,41,male,23325
2010,Oregon,41,total,45540
2010,Pennsylvania,42,female,69889
2010,Pennsylvania,42,male,73432
2010,Pennsylvania,42,total,143321
2010,Rhode Island,44,female,5411
2010,Rhode Island,44,male,5766
2010,Rhode Island,44,total,11177
2010,South Carolina,45,female,28682
2010,South Carolina,45,male,29660
2010,South Carolina,45,total,58342
2010,South Dakota,46,female,5782
2010,South Dakota,46,male,6029
2010,South Dakota,46,total,11811
2010,Tennessee,47,female,38519
2010,Tennessee,47,male,40976
2010,Tennessee,47,total,79495
2010,Texas,48,female,189039
2010,Texas,48,male,197079
2010,Texas,48,total,386118
2010,Utah,49,female,25374
2010,Utah,49,male,26884
2010,Utah,49,total,52258
2010,Vermont,50,female,2956
2010,Vermont,50,male,3267
2010,Vermont,50,total,6223
2010,Virginia,51,female,50137
2010,Virginia,51,male,52865
2010,Virginia,51,total,103002
2010,Washington,53,female,42266
2010,Washington,53,male,44273
2010,Washington,53,total,86539
2010,West Virginia,54,female,10173
2010,West Virginia,54,male,10297
2010,West Virginia,54,total,20470
2010,Wisconsin,55,female,33411
2010,Wisconsin,55,male,35076
2010,Wisconsin,55,total,68487
2010,Wyoming,56,female,3758
2010,Wyoming,56,male,3798
2010,Wyoming,56,total,7556
2010,United States,,total,3999386
2011,Alabama,01,female,28897
2011,Alabama,01,male,30457
2011,Alabama,01,total,59354
2011,Alaska,02,female,5578
2011,Alaska,02,male,5878
2011,Alaska,02,total,11456
2011,Arizona,04,female,41739
2011,Arizona,04,male,43804
2011,Arizona,04,total,85543
2011,Arkansas,05,female,18929
2011,Arkansas,05,male,19786
2011,Arkansas,05,total,38715
2011,California,06,female,244892
2011,California,06,male,257228
2011,California,06,total,502120
2011,Colorado,08,female,31625
2011,Colorado,08,male,33430
2011,Colorado,08,total,65055
2011,Connecticut,09,female,18178
2011,Connecticut,09,male,19103
2011,Connecticut,09,total,37281
2011,Delaware,10,female,5522
2011,Delaware,10,male,5735
2011,Delaware,10,total,11257
2011,District of Columbia,11,female,4505
2011,District of Columbia,11,male,4790
2011,District of Columbia,11,total,9295
2011,Florida,12,female,104057
2011,Florida,12,male,109357
2011,Florida,12,total,213414
2011,Georgia,13,female,64897
2011,Georgia,13,male,67512
2011,Georgia,13,total,132409
2011,Hawaii,15,female,9204
2011,Hawaii,15,male,9752
2011,Hawaii,15,total,18956
2011,Idaho,16,female,10809
2011,Idaho,16,male,11496
2011,Idaho,16,total,22305
2011,Illinois,17,female,78838
2011,Illinois,17,male,82474
2011,Illinois,17,total,161312
2011,Indiana,18,female,40809
2011,Indiana,18,male,42892
2011,Indiana,18,total,83701
2011,Iowa,19,female,18685
2011,Iowa,19,male,19529
2011,Iowa,19,total,38214
2011,Kansas,20,female,19257
2011,Kansas,20,male,20385
2011,Kansas,20,total,39642
2011,Kentucky,21,female,27072
2011,Kentucky,21,male,28298
2011,Kentucky,21,total,55370
2011,Louisiana,22,female,30250
2011,Louisiana,22,male,31638
2011,Louisiana,22,total,61888
2011,Maine,23,female,6168
2011,Maine,23,male,6536
2011,Maine,23,total,12704
2011,Maryland,24,female,35701
2011,Maryland,24,male,37392
2011,Maryland,24,total,73093
2011,Massachusetts,25,female,35657
2011,Massachusetts,25,male,37509
2011,Massachusetts,25,total,73166
2011,Michigan,26,female,55368
2011,Michigan,26,male,58640
2011,Michigan,26,total,114008
2011,Minnesota,27,female,33369
2011,Minnesota,27,male,35040
2011,Minnesota,27,total,68409
2011,Mississippi,28,female,19641
2011,Mississippi,28,male,20219
2011,Mississippi,28,total,39860
2011,Missouri,29,female,37018
2011,Missouri,29,male,39099
2011,Missouri,29,total,76117
2011,Montana,30,female,5960
2011,Montana,30,male,6109
2011,Montana,30,total,12069
2011,Nebraska,31,female,12635
2011,Nebraska,31,male,13085
2011,Nebraska,31,total,25720
2011,Nevada,32,female,17076
2011,Nevada,32,male,18220
2011,Nevada,32,total,35296
2011,New Hampshire,33,female,6253
2011,New Hampshire,33,male,6598
2011,New Hampshire,33,total,12851
2011,New Jersey,34,female,51552
2011,New Jersey,34,male,54331
2011,New Jersey,34,total,105883
2011,New Mexico,35,female,13584
2011,New Mexico,35,male,13705
2011,New Mexico,35,total,27289
2011,New York,36,female,118153
2011,New York,36,male,123159
2011,New York,36,total,241312
2011,North Carolina,37,female,58874
2011,North Carolina,37,male,61515
2011,North Carolina,37,total,120389
2011,North Dakota,38,female,4639
2011,North Dakota,38,male,4888
2011,North Dakota,38,total,9527
2011,Ohio,39,female,67117
2011,Ohio,39,male,70801
2011,Ohio,39,total,137918
2011,Oklahoma,40,female,25550
2011,Oklahoma,40,male,26722
2011,Oklahoma,40,total,52272
